Age,Sex,Pref,DiagnoseYear,Population
0,female,5101,2000,47991
0,female,5101,2001,40065
0,female,5101,2002,39801
0,female,5101,2003,39902
0,female,5101,2004,39778
0,female,5101,2005,40136
0,female,5101,2006,41187
0,female,5101,2007,42615
0,female,5101,2008,43989
0,female,5101,2009,45153
0,female,5101,2010,45932
0,female,5101,2011,46203
0,female,5101,2012,45917
0,female,5101,2013,45194
0,female,5101,2014,44250
0,female,5101,2015,43127
0,female,5101,2016,41960
0,female,5101,2017,41167
0,female,5101,2018,40364
1,female,5101,2000,60517
1,female,5101,2001,47965
1,female,5101,2002,40345
1,female,5101,2003,40186
1,female,5101,2004,40435
1,female,5101,2005,40505
1,female,5101,2006,41085
1,female,5101,2007,42291
1,female,5101,2008,43776
1,female,5101,2009,45102
1,female,5101,2010,46100
1,female,5101,2011,46616
1,female,5101,2012,46645
1,female,5101,2013,46176
1,female,5101,2014,45333
1,female,5101,2015,44339
1,female,5101,2016,43227
1,female,5101,2017,42081
1,female,5101,2018,41306
2,female,5101,2000,56587
2,female,5101,2001,60609
2,female,5101,2002,48365
2,female,5101,2003,40854
2,female,5101,2004,40840
2,female,5101,2005,41281
2,female,5101,2006,41570
2,female,5101,2007,42297
2,female,5101,2008,43548
2,female,5101,2009,44968
2,female,5101,2010,46110
2,female,5101,2011,46827
2,female,5101,2012,47088
2,female,5101,2013,46922
2,female,5101,2014,46324
2,female,5101,2015,45422
2,female,5101,2016,44431
2,female,5101,2017,43332
2,female,5101,2018,42198
3,female,5101,2000,56243
3,female,5101,2001,56716
3,female,5101,2002,61043
3,female,5101,2003,48915
3,female,5101,2004,41565
3,female,5101,2005,41753
3,female,5101,2006,42423
3,female,5101,2007,42866
3,female,5101,2008,43641
3,female,5101,2009,44822
3,female,5101,2010,46047
3,female,5101,2011,46892
3,female,5101,2012,47340
3,female,5101,2013,47394
3,female,5101,2014,47092
3,female,5101,2015,46431
3,female,5101,2016,45531
3,female,5101,2017,44553
3,female,5101,2018,43466
4,female,5101,2000,57222
4,female,5101,2001,56419
4,female,5101,2002,57234
4,female,5101,2003,61658
4,female,5101,2004,49686
4,female,5101,2005,42532
4,female,5101,2006,42933
4,female,5101,2007,43730
4,female,5101,2008,44192
4,female,5101,2009,44872
4,female,5101,2010,45846
4,female,5101,2011,46777
4,female,5101,2012,47364
4,female,5101,2013,47620
4,female,5101,2014,47549
4,female,5101,2015,47189
4,female,5101,2016,46528
4,female,5101,2017,45636
4,female,5101,2018,44666
5,female,5101,2000,67498
5,female,5101,2001,57415
5,female,5101,2002,56952
5,female,5101,2003,57854
5,female,5101,2004,62405
5,female,5101,2005,50606
5,female,5101,2006,43634
5,female,5101,2007,44129
5,female,5101,2008,44919
5,female,5101,2009,45275
5,female,5101,2010,45756
5,female,5101,2011,46465
5,female,5101,2012,47171
5,female,5101,2013,47595
5,female,5101,2014,47746
5,female,5101,2015,47627
5,female,5101,2016,47266
5,female,5101,2017,46609
5,female,5101,2018,45722
6,female,5101,2000,56544
6,female,5101,2001,67665
6,female,5101,2002,57895
6,female,5101,2003,57514
6,female,5101,2004,58536
6,female,5101,2005,63242
6,female,5101,2006,51614
6,female,5101,2007,44736
6,female,5101,2008,45230
6,female,5101,2009,45927
6,female,5101,2010,46103
6,female,5101,2011,46342
6,female,5101,2012,46842
6,female,5101,2013,47397
6,female,5101,2014,47723
6,female,5101,2015,47830
6,female,5101,2016,47711
6,female,5101,2017,47355
6,female,5101,2018,46702
7,female,5101,2000,64840
7,female,5101,2001,56728
7,female,5101,2002,68159
7,female,5101,2003,58473
7,female,5101,2004,58211
7,female,5101,2005,59387
7,female,5101,2006,64254
7,female,5101,2007,52716
7,female,5101,2008,45832
7,female,5101,2009,46228
7,female,5101,2010,46743
7,female,5101,2011,46677
7,female,5101,2012,46711
7,female,5101,2013,47064
7,female,5101,2014,47524
7,female,5101,2015,47808
7,female,5101,2016,47913
7,female,5101,2017,47797
7,female,5101,2018,47443
8,female,5101,2000,56300
8,female,5101,2001,65012
8,female,5101,2002,57205
8,female,5101,2003,68710
8,female,5101,2004,59142
8,female,5101,2005,59028
8,female,5101,2006,60361
8,female,5101,2007,65311
8,female,5101,2008,53767
8,female,5101,2009,46791
8,female,5101,2010,47012
8,female,5101,2011,47296
8,female,5101,2012,47035
8,female,5101,2013,46926
8,female,5101,2014,47188
8,female,5101,2015,47606
8,female,5101,2016,47887
8,female,5101,2017,47995
8,female,5101,2018,47882
9,female,5101,2000,62885
9,female,5101,2001,56475
9,female,5101,2002,65481
9,female,5101,2003,57754
9,female,5101,2004,69368
9,female,5101,2005,59947
9,female,5101,2006,59986
9,female,5101,2007,61398
9,female,5101,2008,66339
9,female,5101,2009,54704
9,female,5101,2010,47557
9,female,5101,2011,47552
9,female,5101,2012,47644
9,female,5101,2013,47243
9,female,5101,2014,47046
9,female,5101,2015,47267
9,female,5101,2016,47683
9,female,5101,2017,47967
9,female,5101,2018,48077
10,female,5101,2000,62894
10,female,5101,2001,63098
10,female,5101,2002,57032
10,female,5101,2003,66115
10,female,5101,2004,58505
10,female,5101,2005,70266
10,female,5101,2006,60999
10,female,5101,2007,61106
10,female,5101,2008,62489
10,female,5101,2009,67313
10,female,5101,2010,55485
10,female,5101,2011,48096
10,female,5101,2012,47891
10,female,5101,2013,47843
10,female,5101,2014,47354
10,female,5101,2015,47117
10,female,5101,2016,47335
10,female,5101,2017,47751
10,female,5101,2018,48035
11,female,5101,2000,69956
11,female,5101,2001,63090
11,female,5101,2002,63605
11,female,5101,2003,57610
11,female,5101,2004,66797
11,female,5101,2005,59322
11,female,5101,2006,71218
11,female,5101,2007,62013
11,female,5101,2008,62092
11,female,5101,2009,63368
11,female,5101,2010,68014
11,female,5101,2011,55967
11,female,5101,2012,48398
11,female,5101,2013,48066
11,female,5101,2014,47939
11,female,5101,2015,47415
11,female,5101,2016,47175
11,female,5101,2017,47393
11,female,5101,2018,47810
12,female,5101,2000,63867
12,female,5101,2001,70152
12,female,5101,2002,63600
12,female,5101,2003,64182
12,female,5101,2004,58288
12,female,5101,2005,67598
12,female,5101,2006,60251
12,female,5101,2007,72193
12,female,5101,2008,62952
12,female,5101,2009,62919
12,female,5101,2010,64018
12,female,5101,2011,68452
12,female,5101,2012,56237
12,female,5101,2013,48551
12,female,5101,2014,48147
12,female,5101,2015,47988
12,female,5101,2016,47460
12,female,5101,2017,47219
12,female,5101,2018,47436
13,female,5101,2000,81546
13,female,5101,2001,64062
13,female,5101,2002,70655
13,female,5101,2003,64168
13,female,5101,2004,64842
13,female,5101,2005,59065
